Species,Common name,Present in United States,National Priority Pest,Federal Program Pest
Anoplophora glabripennis,Asian longhorned beetle,Yes,Yes,Yes
Chilo suppressalis,Asiatic rice borer,No,Yes,No
Cryptoblabes gnidiella,Christmas berry webworm,No,Yes,No
Spodoptera litura,Common or cotton cutworm,No,Yes,No
Agrilus planipennis,Emerald ash borer,Yes,No,No
Spodoptera littoralis,Egyptian cottonworm,No,No,No
Thaumatotibia leucotreta,False codling moth,No,Yes,No
Popillia japonica,Japanese beetle,Yes,No,Yes
Monochamus alternatus,Japanese pine sawyer beetle,No,No,No
Epiphyas postvittana,Light brown apple moth,Yes,No,No
Platypus quercivorus,Oak ambrosia beetle,No,Yes,No
Helicoverpa armigera,Old world bollworm,No,Yes,Yes
Dendrolimus pini,Pine-tree lappet moth,No,Yes,No
Autographa gamma,Silver Y moth,No,Yes,No
Neoleucinodes elegantalis,Small tomato borer,No,Yes,No
Lycorma delicatula,Spotted lanternfly,Yes,Yes,Yes
Eurygaster integriceps,Sunn pest,No,Yes,No
Tuta absoluta,Tomato leaf miner,No,Yes,No
