"prefix","variable","year_range","file_path","pest"
"EAB","Cold_Stress","01-10","rasters/MK_trends/EAB/EAB_MK_Cold_Stress_01-10.tif","Emerald Ash borer"
"EAB","Cold_Stress","11-20","rasters/MK_trends/EAB/EAB_MK_Cold_Stress_11-20.tif","Emerald Ash borer"
"EAB","Cold_Stress","81-24","rasters/MK_trends/EAB/EAB_MK_Cold_Stress_81-24.tif","Emerald Ash borer"
"EAB","Cold_Stress","81-90","rasters/MK_trends/EAB/EAB_MK_Cold_Stress_81-90.tif","Emerald Ash borer"
"EAB","Cold_Stress","91-20","rasters/MK_trends/EAB/EAB_MK_Cold_Stress_91-20.tif","Emerald Ash borer"
"EAB","Earliest_PEMe1","01-10","rasters/MK_trends/EAB/EAB_MK_Earliest_PEMe1_01-10.tif","Emerald Ash borer"
"EAB","Earliest_PEMe1","11-20","rasters/MK_trends/EAB/EAB_MK_Earliest_PEMe1_11-20.tif","Emerald Ash borer"
"EAB","Earliest_PEMe1","81-24","rasters/MK_trends/EAB/EAB_MK_Earliest_PEMe1_81-24.tif","Emerald Ash borer"
"EAB","Earliest_PEMe1","81-90","rasters/MK_trends/EAB/EAB_MK_Earliest_PEMe1_81-90.tif","Emerald Ash borer"
"EAB","Earliest_PEMe1","91-20","rasters/MK_trends/EAB/EAB_MK_Earliest_PEMe1_91-20.tif","Emerald Ash borer"
"EAB","Earliest_PEMp0","01-10","rasters/MK_trends/EAB/EAB_MK_Earliest_PEMp0_01-10.tif","Emerald Ash borer"
"EAB","Earliest_PEMp0","11-20","rasters/MK_trends/EAB/EAB_MK_Earliest_PEMp0_11-20.tif","Emerald Ash borer"
"EAB","Earliest_PEMp0","81-24","rasters/MK_trends/EAB/EAB_MK_Earliest_PEMp0_81-24.tif","Emerald Ash borer"
"EAB","Earliest_PEMp0","81-90","rasters/MK_trends/EAB/EAB_MK_Earliest_PEMp0_81-90.tif","Emerald Ash borer"
"EAB","Earliest_PEMp0","91-20","rasters/MK_trends/EAB/EAB_MK_Earliest_PEMp0_91-20.tif","Emerald Ash borer"
"EAB","Heat_Stress","01-10","rasters/MK_trends/EAB/EAB_MK_Heat_Stress_01-10.tif","Emerald Ash borer"
"EAB","Heat_Stress","11-20","rasters/MK_trends/EAB/EAB_MK_Heat_Stress_11-20.tif","Emerald Ash borer"
"EAB","Heat_Stress","81-24","rasters/MK_trends/EAB/EAB_MK_Heat_Stress_81-24.tif","Emerald Ash borer"
"EAB","Heat_Stress","81-90","rasters/MK_trends/EAB/EAB_MK_Heat_Stress_81-90.tif","Emerald Ash borer"
"EAB","Heat_Stress","91-20","rasters/MK_trends/EAB/EAB_MK_Heat_Stress_91-20.tif","Emerald Ash borer"
"JPB","Cold_Stress","01-10","rasters/MK_trends/JPB/JPB_MK_Cold_Stress_01-10.tif","Japanese beetle"
"JPB","Cold_Stress","11-20","rasters/MK_trends/JPB/JPB_MK_Cold_Stress_11-20.tif","Japanese beetle"
"JPB","Cold_Stress","81-24","rasters/MK_trends/JPB/JPB_MK_Cold_Stress_81-24.tif","Japanese beetle"
"JPB","Cold_Stress","81-90","rasters/MK_trends/JPB/JPB_MK_Cold_Stress_81-90.tif","Japanese beetle"
"JPB","Cold_Stress","91-20","rasters/MK_trends/JPB/JPB_MK_Cold_Stress_91-20.tif","Japanese beetle"
"JPB","Earliest_PEMe1","01-10","rasters/MK_trends/JPB/JPB_MK_Earliest_PEMe1_01-10.tif","Japanese beetle"
"JPB","Earliest_PEMe1","11-20","rasters/MK_trends/JPB/JPB_MK_Earliest_PEMe1_11-20.tif","Japanese beetle"
"JPB","Earliest_PEMe1","81-24","rasters/MK_trends/JPB/JPB_MK_Earliest_PEMe1_81-24.tif","Japanese beetle"
"JPB","Earliest_PEMe1","81-90","rasters/MK_trends/JPB/JPB_MK_Earliest_PEMe1_81-90.tif","Japanese beetle"
"JPB","Earliest_PEMe1","91-20","rasters/MK_trends/JPB/JPB_MK_Earliest_PEMe1_91-20.tif","Japanese beetle"
"JPB","Earliest_PEMp0","01-10","rasters/MK_trends/JPB/JPB_MK_Earliest_PEMp0_01-10.tif","Japanese beetle"
"JPB","Earliest_PEMp0","11-20","rasters/MK_trends/JPB/JPB_MK_Earliest_PEMp0_11-20.tif","Japanese beetle"
"JPB","Earliest_PEMp0","81-24","rasters/MK_trends/JPB/JPB_MK_Earliest_PEMp0_81-24.tif","Japanese beetle"
"JPB","Earliest_PEMp0","81-90","rasters/MK_trends/JPB/JPB_MK_Earliest_PEMp0_81-90.tif","Japanese beetle"
"JPB","Earliest_PEMp0","91-20","rasters/MK_trends/JPB/JPB_MK_Earliest_PEMp0_91-20.tif","Japanese beetle"
"JPB","Heat_Stress","01-10","rasters/MK_trends/JPB/JPB_MK_Heat_Stress_01-10.tif","Japanese beetle"
"JPB","Heat_Stress","11-20","rasters/MK_trends/JPB/JPB_MK_Heat_Stress_11-20.tif","Japanese beetle"
"JPB","Heat_Stress","81-24","rasters/MK_trends/JPB/JPB_MK_Heat_Stress_81-24.tif","Japanese beetle"
